	, ServiceMax Vendor User.txt, SolutionManager.txt, Standard.txt, StandardAul.txt, Sys Admin ReadOnly.txt, System Admin ReadOnly.txt, System Administrator Custom.txt, UnifiedSSO Profile.txt, test Profile.txt, www Profile.xml
InboundMigrationToolsUser,,,,,,name=InboundMigrationToolsUser,name=InboundMigrationToolsUser,,,
InstallPackaging,,,,,,,name=InstallPackaging,,,
LightningExperienceUser,,name=LightningExperienceUser,name=LightningExperienceUser,name=LightningExperienceUser,,,,,,
ManageAnalyticSnapshots,,,,,,name=ManageAnalyticSnapshots,name=ManageAnalyticSnapshots,,,
ManageBusinessHourHolidays,,,,,,name=ManageBusinessHourHolidays,name=ManageBusinessHourHolidays,,,
ManageCallCenters,,,,,,name=ManageCallCenters,name=ManageCallCenters,,,
ManageCases,,,,,name=ManageCases,name=ManageCases,name=ManageCases,,,
ManageCategories,,,,,,name=ManageCategories,name=ManageCategories,,,
ManageContentPermissions,,,,,name=ManageContentPermissions,name=ManageContentPermissions,name=ManageContentPermissions,,,
ManageContentProperties,,,,,,,name=ManageContentProperties,,,
ManageContentTypes,,,,,,,name=ManageContentTypes,,,
ManageCssUsers,,name=ManageCssUsers,name=ManageCssUsers,,name=ManageCssUsers,name=ManageCssUsers,name=ManageCssUsers,,,
ManageCustomPermissions,,,,,name=ManageCustomPermissions,name=ManageCustomPermissions,name=ManageCustomPermissions,,,
ManageCustomReportTypes,,,,,,name=ManageCustomReportTypes,name=ManageCustomReportTypes,,,
ManageDashbdsInPubFolders,,,,,name=ManageDashbdsInPubFolders,name=ManageDashbdsInPubFolders,name=ManageDashbdsInPubFolders,,,
ManageDataCategories,,,,,,name=ManageDataCategories,name=ManageDataCategories,,,
ManageDataIntegrations,,,,,name=ManageDataIntegrations,name=ManageDataIntegrations,name=ManageDataIntegrations,,,
ManageDynamicDashboards,,,,,name=ManageDynamicDashboards,name=ManageDynamicDashboards,name=ManageDynamicDashboards,,,
ManageEmailClientConfig,,,,,,name=ManageEmailClientConfig,name=ManageEmailClientConfig,,,
ManageEntitlements,,,,,,name=ManageEntitlements,name=ManageEntitlements,,,
ManageHealthCheck,,,,,,,name=ManageHealthCheck,,,
ManageInteraction,,,,,,name=ManageInteraction,name=ManageInteraction,,,
ManageInternalUsers,,,,,name=ManageInternalUsers,name=ManageInternalUsers,name=ManageInternalUsers,,,
ManageIpAddresses,,,,,name=ManageIpAddresses,name=ManageIpAddresses,name=ManageIpAddresses,,,
ManageKnowledge,,,,,name=ManageKnowledge,name=ManageKnowledge,name=ManageKnowledge,,,
ManageKnowledgeImportExport,,,,,name=ManageKnowledgeImportExport,name=ManageKnowledgeImportExport,name=ManageKnowledgeImportExport,,,
ManageLeads,,,,,name=ManageLeads,name=ManageLeads,name=ManageLeads,,,
ManageLoginAccessPolicies,,,,,name=ManageLoginAccessPolicies,name=ManageLoginAccessPolicies,name=ManageLoginAccessPolicies,,,
ManageMobile,,,,,,name=ManageMobile,name=ManageMobile,,,
ManageNetworks,,,,,name=ManageNetworks,name=ManageNetworks,name=ManageNetworks,,,
ManagePackageLicenses,,,,,name=ManagePackageLicenses,name=ManagePackageLicenses,name=ManagePackageLicenses,,,
ManagePartners,,,,,name=ManagePartners,name=ManagePartners,name=ManagePartners,,,
ManagePasswordPolicies,,,,,name=ManagePasswordPolicies,name=ManagePasswordPolicies,name=ManagePasswordPolicies,,,
ManageProfilesPermissionsets,,,,,name=ManageProfilesPermissionsets,name=ManageProfilesPermissionsets,name=ManageProfilesPermissionsets,,,
ManageRemoteAccess,,,,,name=ManageRemoteAccess,name=ManageRemoteAccess,name=ManageRemoteAccess,,,
ManageReportsInPubFolders,,,,,name=ManageReportsInPubFolders,name=ManageReportsInPubFolders,name=ManageReportsInPubFolders,,,
ManageRoles,,,,,name=ManageRoles,name=ManageRoles,name=ManageRoles,,,
ManageSandboxes,,,,,,name=ManageSandboxes,name=ManageSandboxes,,,
ManageSearchPromotionRules,,,,,name=ManageSearchPromotionRules,name=ManageSearchPromotionRules,name=ManageSearchPromotionRules,,,
ManageSelfService,,,,,,name=ManageSelfService,name=ManageSelfService,,,
ManageSharing,,,,,name=ManageSharing,name=ManageSharing,name=ManageSharing,,,
ManageSolutions,,name=ManageSolutions,,,name=ManageSolutions,name=ManageSolutions,name=ManageSolutions,,,
ManageSynonyms,,,,,,name=ManageSynonyms,name=ManageSynonyms,,,
ManageTranslation,,,,,,name=ManageTranslation,name=ManageTranslation,,,
ManageUsers,,,,,,name=ManageUsers,name=ManageUsers,,,
MassInlineEdit,,name=MassInlineEdit,name=MassInlineEdit,name=MassInlineEdit,name=MassInlineEdit,name=MassInlineEdit,name=MassInlineEdit,,,
MergeTopics,,,,,name=MergeTopics,name=MergeTopics,name=MergeTopics,,,
ModifyAllData,,,,,,name=ModifyAllData,name=ModifyAllData,,,
NewReportBuilder,,,,,name=NewReportBuilder,name=NewReportBuilder,name=NewReportBuilder,,,
OutboundMigrationToolsUser,,,,,,name=OutboundMigrationToolsUser,name=OutboundMigrationToolsUser,,,
PasswordNeverExpires,,,,,name=PasswordNeverExpires,name=PasswordNeverExpires,name=PasswordNeverExpires,name=PasswordNeverExpires,name=PasswordNeverExpires,name=PasswordNeverExpires
PublishPackaging,,,,,,,name=PublishPackaging,,,
ResetPasswords,,,,,,name=ResetPasswords,name=ResetPasswords,,,
RunReports,,name=RunReports,name=RunReports,name=RunReports,name=RunReports,name=RunReports,name=RunReports,,,
ScheduleJob,,,,,name=ScheduleJob,name=ScheduleJob,name=ScheduleJob,,,
