	, ServiceMax Vendor User.txt, SolutionManager.txt, Standard.txt, StandardAul.txt, Sys Admin ReadOnly.txt, System Admin ReadOnly.txt, System Administrator Custom.txt, UnifiedSSO Profile.txt, test Profile.txt, www Profile.xml
Contact,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=false,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=false,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=false,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=false,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,allowCreate=true/allowRead=true/allowEdit=false/allowDelete=false/modifyAllrecords=null/viewAllRecords=false,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllrecords=null/viewAllRecords=false
E2E_Acc_Group_Setup_Request__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
EDA_Card__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Entitlement,,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllrecords=null/viewAllRecords=false,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllrecords=null/viewAllRecords=false,,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllrecords=null/viewAllRecords=false,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Error__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Exception_eDAoT__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
GSS_Account_Team_Recon_Records__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
IP_Config__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Integration__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Intel_Runda_30_Day_Email_Log__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
