	, www Profile.xml
Account.Legal_Base_Agreement_Status__c,readable=false/editable=false
Account.Legal_Region__c,readable=false/editable=false
Account.Longitude__c,readable=false/editable=false
Account.Merge__c,readable=false/editable=false
Account.Mod_CT_Flag__c,readable=false/editable=false
Account.New_GSS_Index_Ref__c,readable=false/editable=false
Account.New_GSS_Index__c,readable=false/editable=false
Account.No_Domain_Expiration_Mail__c,readable=false/editable=false
Account.NumberOfEmployees,readable=true/editable=true
Account.Old_Opps_Index__c,readable=false/editable=false
Account.Operations_Name__c,readable=false/editable=false
Account.Original_System__c,readable=false/editable=false
Account.Ownership,readable=false/editable=false
Account.ParentId,readable=true/editable=true
Account.Parent_Account_Name__c,readable=false/editable=false
Account.Parent_Account_Number__c,readable=false/editable=false
Account.Parent_Account_Support_Level__c,readable=false/editable=false
Account.Parent_Account_Type__c,readable=false/editable=false
Account.Parent_Account__c,readable=false/editable=false
Account.Parent_Site_Id__c,readable=false/editable=false
Account.Partner_Flag__c,readable=false/editable=false
Account.Payment_Terms__c,readable=false/editable=false
Account.Phone,readable=true/editable=true
Account.Postal_Code__c,readable=false/editable=false
Account.Primary_Account__c,readable=false/editable=false
Account.Primary_Partner_Upsert_Key__c,readable=false/editable=false
Account.Primary_Partner__c,readable=false/editable=false
Account.Prior_GSS_Event__c,readable=false/editable=false
Account.Rating,readable=false/editable=false
Account.Rec_Credit_Limit__c,readable=false/editable=false
Account.Rec_Risk_Rating__c,readable=false/editable=false
Account.Ref_Key_Prefix__c,readable=false/editable=false
Account.Region__c,readable=false/editable=false
Account.Related_Parties_List__c,readable=false/editable=false
Account.Restricted__c,readable=false/editable=false
Account.Row_Id_Transition__c,readable=false/editable=false
Account.Row_Id__c,readable=false/editable=false
Account.SAP_Customer_ID_Mask__c,readable=false/editable=false
Account.SAP_Customer_Id__c,readable=false/editable=false
Account.SAP_Inactivate__c,readable=false/editable=false
Account.SAP_Response_Time__c,readable=false/editable=false
Account.SAP_Response__c,readable=false/editable=false
Account.SAP_Sold_To_Customer_Id__c,readable=false/editable=false
Account.SVMXC__Access_Hours__c,readable=false/editable=false
Account.SVMXC__Business_Hours__c,readable=false/editable=false
Account.SVMXC__Latitude__c,readable=false/editable=false
Account.SVMXC__Longitude__c,readable=false/editable=false
Account.SVMXC__Preferred_Technician__c,readable=false/editable=false
Account.Sales_Id__c,readable=false/editable=false
Account.Sales_Organization__c,readable=false/editable=false
Account.Search_Term__c,readable=false/editable=false
Account.Select_Primary_Partner__c,readable=false/editable=false
Account.Send_to_EOD__c,readable=false/editable=false
Account.Ship_To__c,readable=false/editable=false
Account.ShippingAddress,readable=true/editable=true
Account.Sic,readable=false/editable=false
Account.SicDesc,readable=true/editable=true
Account.Site,readable=false/editable=false
Account.Site_Territory__c,readable=false/editable=false
Account.Sold_To_Account__c,readable=false/editable=false
Account.Sold_To_Customer_Name__c,readable=false/editable=false
Account.Sold_To_SAP_ID__c,readable=false/editable=false
Account.Sold_To_SAP__c,readable=false/editable=false
Account.Sold_To__c,readable=false/editable=false
Account.Sold_to_edaot_idx__c,readable=false/editable=false
Account.State_Region__c,readable=false/editable=false
Account.Status__c,readable=false/editable=false
Account.Support_Center__c,readable=false/editable=false
Account.Support_Geography__c,readable=false/editable=false
Account.Support_Level__c,readable=false/editable=false
Account.Support_Type__c,readable=false/editable=false
Account.Survey_Preference__c,readable=false/editable=false
Account.TickerSymbol,readable=false/editable=false
Account.Trigger_Bypass__c,readable=false/editable=false
Account.Type,readable=true/editable=true
Account.Type__c,readable=false/editable=false
Account.VAT_Regn_No__c,readable=false/editable=false
Account.Validated_By__c,readable=false/editable=false
Account.Validated_Date__c,readable=false/editable=false
Account.Validation_Override__c,readable=false/editable=false
Account.WF_Old_Opps_Index__c,readable=false/editable=false
Account.Website,readable=true/editable=true
Account.eDAoT_Index_Comments__c,readable=false/editable=false
Account.eDAoT_Index__c,readable=false/editable=false
Account.f_Sold_Sh_Bill__c,readable=false/editable=false
Account.isMigrated_Record__c,readable=false/editable=false
Account.sendToDwnSys__c,readable=false/editable=false
Account.sendToSAP__c,readable=false/editable=false
Account_CCP__c.Partner__c,readable=false/editable=false
Account_CCP__c.Source__c,readable=false/editable=false
Account_CCP__c.Upsert_Key__c,readable=false/editable=false
Account_Domain__c.Match_Type__c,readable=false/editable=false
Account_Domain__c.Row_Id__c,readable=false/editable=false
Account_Domain__c.isActive__c,readable=false/editable=false
Account_Domain__c.isMigrated_Record__c,readable=false/editable=false
Account_Master__c.Finance_ID__c,readable=false/editable=false
Account_Master__c.Finance_Index__c,readable=false/editable=false
Account_Master__c.Global_Ultimate_DUNS_Number__c,readable=false/editable=false
Account_Master__c.IsActive__c,readable=false/editable=false
Account_Master__c.OPS_Index__c,readable=false/editable=false
Account_Master__c.OPS_Name__c,readable=false/editable=false
Account_Master__c.Row_Id__c,readable=false/editable=false
Account_Sites__c.Account__c,readable=false/editable=false
Account_Sites__c.Address__c,readable=false/editable=false
Account_Sites__c.Channel_Type__c,readable=false/editable=false
Account_Sites__c.City__c,readable=false/editable=false
Account_Sites__c.Country__c,readable=false/editable=false
Account_Sites__c.Create_Opportunity__c,readable=false/editable=false
Account_Sites__c.Full_Address__c,readable=false/editable=false
Account_Sites__c.SAP_ID__c,readable=false/editable=false
Account_Sites__c.State__c,readable=false/editable=false
Account_Sites__c.Status__c,readable=false/editable=false
Account_Sites__c.UniqueId__c,readable=false/editable=false
Account_Sites__c.Zip_Code__c,readable=false/editable=false
Account_Team__c.Account_Access__c,readable=false/editable=false
Account_Team__c.Case_Access__c,readable=false/editable=false
Account_Team__c.Contact_Access__c,readable=false/editable=false
Account_Team__c.Integration_Flag__c,readable=false/editable=false
Account_Team__c.Opportunity_Access__c,readable=false/editable=false
Account_Team__c.Platform__c,readable=false/editable=false
Account_Team__c.Related_Account_Team_Native__c,readable=false/editable=false
Account_Team__c.Source__c,readable=false/editable=false
Account_Team__c.Team_Role__c,readable=false/editable=false
Account_Team__c.Territory_Code__c,readable=false/editable=false
Account_Team__c.User__c,readable=false/editable=false
Agreement__c.Data_Sync_Remark__c,readable=false/editable=false
